id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,class
130,293,3.68,1,302,3,335,4,569,9,211,1.32,37,62,448,96,310,99,430,37,220,68,0.97,795,113,69,64,155,206,48,15,5,1
131,282,3.83,2,327,3,314,4,533,10,226,1.23,30,69,418,92,311,80,338,36,225,68,1.12,536,125,74,66,144,219,42,14,8,1
132,274,4.15,3,326,3,293,4,580,8,210,1.44,38,70,446,91,344,93,359,40,196,84,0.8,921,107,74,55,139,177,42,15,6,1
133,280,4.19,1,329,4,289,5,568,9,232,1.43,35,68,434,93,335,94,371,42,220,75,0.8,482,115,75,61,145,196,49,15,0,1
134,296,4.03,2,336,3,311,4,595,9,197,1.26,37,69,426,96,304,83,346,36,193,72,1,744,114,89,62,145,187,41,14,0,1
135,283,4.79,2,338,3,320,4,625,7,190,1.25,38,62,338,94,323,86,318,34,214,69,1,482,102,68,62,139,212,37,15,4,1
136,313,3.95,2,313,2,332,4,621,8,225,1.49,36,71,436,86,344,90,368,32,188,83,0.92,903,110,63,67,138,210,44,13,3,1
137,320,4.24,2,364,3,315,3,586,10,209,1.45,35,66,477,91,332,92,349,38,218,59,0.84,845,110,72,58,134,159,44,14,0,1
138,275,4.19,3,318,4,335,4,585,9,221,0.99,37,73,418,96,314,102,301,34,215,66,0.87,699,96,69,66,133,167,41,16,1,1
139,267,4.11,1,354,3,298,5,535,10,221,1.27,35,69,486,88,304,101,331,40,246,70,1.02,618,119,77,65,138,165,46,13,1,1
140,295,4.15,3,363,3,310,4,518,8,212,1.09,35,69,367,94,332,96,340,39,226,75,0.87,775,124,72,71,139,198,41,15,0,1
141,265,3.8,2,363,3,245,5,588,8,221,1.32,33,71,411,90,305,84,356,49,222,79,0.99,687,120,66,59,135,218,48,15,6,1
142,258,4.19,2,360,3,299,4,609,9,218,1.19,28,71,461,93,281,92,278,41,190,82,1.05,647,99,78,60,144,188,37,13,3,1
143,265,3.93,2,366,3,300,4,527,9,226,1.37,29,66,400,97,327,94,335,36,235,75,1.08,775,98,67,57,148,220,51,16,7,1
144,264,3.78,2,353,3,319,4,625,10,226,1.39,37,68,467,86,338,86,360,34,223,73,0.79,791,105,82,63,146,179,42,15,5,1
145,310,3.87,3,306,2,283,3,518,9,216,1.34,37,71,463,92,295,101,332,46,208,67,0.91,783,115,70,61,152,206,52,16,7,1
