ID,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,Class_0 or 1
915,5,445,2,12,0.31,10,0
916,2,10,1,3,0.119375,2,0
917,23,10637,10,102,11.5475,24,0
918,1,2,1,1,0.024375,1,0
919,1,2,1,1,0.024375,1,0
920,11,4153,2,37,2.269375,16,0
921,4,4326,2,13,0.569375,7,0
922,1,9.96,1,1,0.024375,1,0
923,2,146,1,2,0.0475,2,0
925,1,2,1,1,0.024375,1,0
926,1,2,1,1,0.024375,1,0
928,5,979.2,2,8,0.46,5,1
929,2,344,1,2,0.0475,2,0
930,16,10410,9,59,4.749375,19,0
933,7,24932,9,20,0.8,12,0
934,1,20.79,2,1,0.024375,1,1
935,2,4212,2,8,0.71,3,1
936,2,3545,2,13,1.569375,4,1
937,3,2491,2,12,1.16,3,1
939,4,3729,1,30,3.8875,9,1
941,2,284.5,2,11,2.449375,2,0
942,1,3672,1,2,0.0975,1,1
943,8,2960,2,28,2.41,12,0
944,12,2570,2,19,1.149375,8,0
945,5,2295,1,13,0.369375,10,1
947,1,375,1,1,0.024375,1,1
948,2,18907,9,117,284.319375,4,0
949,2,1330,2,7,0.444375,4,0
951,1,89,1,1,0.024375,1,0
952,3,1710,3,8,0.91,3,0
953,4,830,1,12,1.46,3,1
954,3,405,5,5,0.159375,4,0
955,1,11,3,2,0.0475,2,0
956,1,2,1,1,0.024375,1,0
957,1,2,1,1,0.024375,1,1
959,1,4,1,1,0.024375,1,1
960,1,4,1,1,0.024375,1,1
961,1,4,1,1,0.024375,1,1
962,1,8,1,1,0.024375,1,1
963,1,8,1,1,0.024375,1,1
964,1,24,1,1,0.024375,1,1
965,1,2664,2,12,3.51,1,0
966,7,5592,5,19,1.099375,9,0
967,5,1222,1,14,1.0775,6,0
968,3,1410,1,9,0.524375,4,0
969,3,2159,2,7,0.444375,4,1
970,8,5362,2,18,1.2475,8,0
971,10,3934,1,17,0.794375,12,0
972,8,6876,4,18,0.9475,10,0
973,1,652,1,1,0.024375,1,0
974,1,66.4,1,2,0.0975,1,0
975,1,148,1,1,0.024375,1,0
977,1,982,2,10,1.3875,2,0
978,3,268,1,7,0.694375,2,0
979,1,51,1,2,0.0975,1,0
980,2,108.4,2,5,0.259375,3,0
981,6,6878,3,11,0.799375,5,0
982,7,14737,3,23,2.394375,5,1
983,4,91,1,8,0.51,4,0
984,1,47,1,2,0.0475,2,0
985,1,27,1,1,0.024375,1,0
986,1,85,1,2,0.0975,1,0
987,1,19.98,1,1,0.024375,1,0
988,1,19.96,1,1,0.024375,1,0
989,1,264.8,1,4,0.24,2,0
990,2,903.6,3,9,0.374375,6,0
991,2,21,2,3,0.069375,3,1
992,1,59.99,1,1,0.024375,1,0
993,2,19.98,2,3,0.119375,2,0
994,2,443,1,5,0.409375,2,0
995,2,68,4,5,0.209375,3,0
996,1,49.96,1,1,0.024375,1,0
997,1,12,1,2,0.0975,1,1
998,3,185,1,5,0.159375,4,1
999,2,2140,2,8,1.21,2,1
1000,2,210,1,4,0.24,2,1
1001,1,19.97,4,2,0.0475,2,0
1002,1,9757,2,2,0.0975,1,0
1004,1,169.2,1,4,0.14,3,0
1005,1,2,1,1,0.024375,1,0
1006,1,2,1,1,0.024375,1,0
1007,1,2,1,1,0.024375,1,0
1008,1,2,1,1,0.024375,1,0
1009,3,2623.5,2,5,0.309375,2,0
1010,1,72,2,2,0.0975,1,0
1011,1,4.9,1,1,0.024375,1,0
1012,6,1618,3,11,1.049375,4,0
1013,1,93,1,1,0.024375,1,0
1014,2,194,4,5,0.159375,4,1
1015,3,3941,4,10,0.6375,5,0
1016,8,527,2,19,2.249375,8,0
1017,1,3,2,2,0.0975,1,0
1018,1,3,2,2,0.0975,1,0
1019,1,4.99,1,1,0.024375,1,0
1020,1,14.99,1,1,0.024375,1,0
1021,1,2,1,1,0.024375,1,1
1022,1,12,1,1,0.024375,1,0
1023,1,12,1,1,0.024375,1,1
1024,1,4,1,1,0.024375,1,0
1025,21,4605.5,4,102,29.2975,13,0
1026,2,41,4,5,0.159375,4,0
1028,3,43.7,1,5,0.109375,5,1
1029,2,1070,1,2,0.0475,2,0
1030,2,156,1,4,0.09,4,0
1031,4,10982,1,8,0.51,4,1
1032,1,99,2,2,0.0975,1,0
1033,6,3944,7,15,0.384375,12,0
1034,5,1193,1,6,0.1775,5,0
1035,1,6435,4,23,3.894375,6,0
1036,1,55,1,1,0.024375,1,0
1037,1,270,1,1,0.024375,1,0
1038,1,50.28,3,2,0.0475,2,0
1039,1,378,1,1,0.024375,1,0
1040,7,4288,3,20,2.85,6,0
1041,1,100,1,1,0.024375,1,1
1042,2,3664,7,5,0.259375,3,0
1043,3,422,2,5,0.159375,4,0
1045,1,14,1,2,0.0975,1,1
1046,1,16,1,2,0.0975,1,0
1047,1,10.8,1,1,0.024375,1,0
1048,1,30,1,4,0.39,1,0
1049,2,344,2,2,0.0475,2,0
1050,1,75,1,1,0.024375,1,0
1051,1,604.35,1,1,0.024375,1,0
1052,4,956,2,5,0.159375,4,0
1054,2,79,3,3,0.119375,2,0
1055,2,155,8,8,0.96,2,0
1056,1,17,1,1,0.024375,1,0
1057,1,30,2,2,0.0475,2,0
1058,1,21.9,1,1,0.024375,1,0
1059,8,4509,1,27,4.919375,6,0
1060,1,23,1,1,0.024375,1,0
1061,1,18,1,1,0.024375,1,0
1062,1,7,1,1,0.024375,1,0
1063,1,4,1,1,0.024375,1,0
1064,1,20,1,1,0.024375,1,0
1065,1,20.45,2,3,0.119375,2,0
1066,3,1694,3,6,0.2775,4,0
1067,5,625,2,7,0.494375,3,0
1068,3,50.7,5,9,0.674375,5,0
1069,2,104,3,4,0.24,2,0
1070,1,50,2,1,0.024375,1,0
1071,8,2165,2,35,26.509375,3,0
1072,1,2,1,1,0.024375,1,0
1073,1,2,1,1,0.024375,1,0
1074,1,895,6,14,1.4275,4,0
1075,4,6092,2,22,2.8475,5,0
1076,2,1459,1,4,0.19,2,0
1077,1,1117,3,2,0.0975,1,0
1078,1,872,1,4,0.09,4,0
1079,1,340,1,2,0.0475,2,0
1080,1,388.8,2,2,0.0475,2,0
1081,1,373.3,2,2,0.0475,2,0
1082,1,39.99,1,1,0.024375,1,0
1083,1,593,1,1,0.024375,1,0
1084,5,216,3,9,0.674375,3,0
1085,6,572,1,12,0.81,6,0
1087,1,6,1,1,0.024375,1,0
1088,1,6,1,1,0.024375,1,0
1089,1,48,1,1,0.024375,1,0
1090,1,409.8,1,1,0.024375,1,0
1091,1,120,2,1,0.024375,1,0
1092,3,159,1,3,0.069375,3,0
1093,6,461,1,25,2.084375,8,0
1094,2,54,2,2,0.0475,2,0
1095,5,2849,1,7,0.194375,6,0
1096,2,125,2,2,0.0975,1,0
1098,1,338,5,5,0.409375,2,0
1099,3,482.1,5,11,1.599375,4,0
1102,1,62,1,1,0.024375,1,0
1103,1,6,1,1,0.024375,1,0
1104,1,51,1,1,0.024375,1,0
1105,1,16,1,1,0.024375,1,0
1106,1,5,1,1,0.024375,1,0
1107,1,44.8,1,1,0.024375,1,0
1108,1,541,1,1,0.024375,1,0
1109,1,487,3,2,0.0475,2,0
1110,1,10,1,1,0.024375,1,0
1111,1,1951,2,5,0.409375,2,0
1112,1,15,1,1,0.024375,1,0
1114,1,10,1,1,0.024375,1,0
1115,1,10,1,1,0.024375,1,0
1116,1,15,1,1,0.024375,1,0
1117,2,75,1,2,0.0975,1,0
1118,2,90,2,2,0.0475,2,0
1119,1,2,1,1,0.024375,1,0
1121,2,3639,3,5,0.209375,3,0
1123,1,13095,1,1,0.024375,1,0
1124,1,22.8,1,1,0.024375,1,0
1125,9,451,2,16,1.34,6,0
1126,9,8778,1,20,1.1,9,0
1127,1,29.98,1,1,0.024375,1,0
1128,1,8,1,2,0.0975,1,0
1129,1,4,1,1,0.024375,1,0
1130,1,16,2,3,0.119375,2,0
1131,1,4,1,1,0.024375,1,0
1132,1,16,3,5,0.609375,1,0
1133,1,8,1,2,0.0975,1,0
1134,1,4,1,1,0.024375,1,0
1135,1,4,1,1,0.024375,1,0
1136,1,4,1,1,0.024375,1,0
1137,1,8,1,2,0.0975,1,0
1138,1,4,1,1,0.024375,1,0
1139,1,4,1,1,0.024375,1,0
1140,1,4,1,1,0.024375,1,0
1141,1,4,1,1,0.024375,1,0
1142,1,4,1,1,0.024375,1,0
1143,1,50,1,1,0.024375,1,0
1144,1,300,1,1,0.024375,1,0
1145,1,497,1,1,0.024375,1,0
1146,1,3,3,3,0.119375,2,0
1148,1,4.99,1,1,0.024375,1,0
1149,1,4.99,1,1,0.024375,1,0
1150,1,24,1,1,0.024375,1,0
1151,1,4.98,1,1,0.024375,1,0
1152,1,13,1,2,0.0475,2,0
1153,1,600,2,2,0.0475,2,0
1154,2,2930,1,2,0.0975,1,1
1155,2,200,1,3,0.119375,2,0
1156,1,86,2,2,0.0475,2,0
1158,1,395,2,2,0.0475,2,0
1160,1,8,1,1,0.024375,1,0
1162,1,89,2,4,0.14,3,0
1163,1,69,2,2,0.0475,2,0
1164,1,53,2,2,0.0475,2,0
1165,1,1405,1,2,0.0975,1,0
1166,1,19.99,1,1,0.024375,1,0
1167,1,2374,1,1,0.024375,1,0
1168,1,366,1,1,0.024375,1,0
1169,5,3771,1,6,0.1775,5,0
1170,4,2098,2,10,0.5875,5,0
1171,1,21933,16,122,249.3975,5,0
1172,1,594.7,2,1,0.024375,1,0
1173,1,140,1,1,0.024375,1,0
1174,1,217,1,1,0.024375,1,0
1175,7,1134,1,12,2.96,2,0
1176,1,6958,4,4,0.39,1,0
1177,8,3475,3,18,1.5975,6,0
1178,11,2007,3,43,8.669375,11,0
1179,20,1230,2,46,7.7775,11,0
1180,5,1712,1,8,0.51,4,0
1181,5,2100,3,38,10.7975,5,0
1182,7,326.5,1,11,0.299375,9,0
1183,1,99.98,3,2,0.0975,1,0
1184,1,69.88,3,3,0.119375,2,0
1185,1,127,1,1,0.024375,1,0
1186,1,4178,1,1,0.024375,1,0
1187,1,381,1,1,0.024375,1,0
1188,8,2800,3,14,0.6775,8,0
1189,1,8,1,1,0.024375,1,0
1190,2,954,1,2,0.0475,2,0
1191,2,836,1,3,0.119375,2,0
1192,10,992,4,30,4.0375,9,0
1193,12,1967.5,2,31,4.924375,9,0
1194,2,1711,1,13,2.319375,2,0
1196,1,18,1,1,0.024375,1,0
1197,3,754,1,7,1.194375,1,0
1198,1,5770,2,5,0.609375,1,0
1199,2,6457,4,8,1.21,2,0
1200,2,300,1,2,0.0475,2,0
1201,3,327.8,1,4,0.09,4,1
1202,1,14,4,4,0.19,2,1
1203,1,4,1,1,0.024375,1,1
1204,1,2316,1,9,1.574375,2,1
1205,1,244,4,2,0.0975,1,0
1206,1,185,4,2,0.0975,1,0
1207,3,16446,9,67,37.119375,6,0
