id,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,class
1117,1,6839,6,4,0.39,1,0
1118,1,16944,10,85,148.509375,3,0
1119,1,108,2,2,0.0975,1,0
1120,1,16916,6,6,0.4775,2,0
1121,1,1640,3,20,9.75,1,0
1122,1,8544,4,64,87.84,2,0
1123,2,7720,4,65,80.184375,2,0
1124,2,10816,4,7,0.294375,4,1
1125,2,93,1,7,1.194375,1,0
1126,1,184,1,1,0.024375,1,0
1127,1,40,1,1,0.024375,1,0
1128,1,73.4,1,1,0.024375,1,0
1129,1,1698,1,1,0.024375,1,0
1130,2,414,2,3,0.119375,2,0
1131,1,16,2,2,0.0975,1,0
1132,1,17,4,4,0.24,2,0
1133,1,330,1,1,0.024375,1,0
1134,1,29.95,1,1,0.024375,1,0
1135,1,17,3,2,0.0975,1,0
1136,1,34,1,1,0.024375,1,0
1137,1,134,1,1,0.024375,1,0
1139,1,73,1,1,0.024375,1,0
1140,1,69,1,1,0.024375,1,0
1145,1,197,1,3,0.219375,1,0
1148,3,240,2,3,0.119375,2,0
1149,6,1057,2,17,7.044375,1,0
1150,3,750,1,3,0.219375,1,0
1151,1,8,2,1,0.024375,1,0
1152,1,6,2,1,0.024375,1,0
1153,1,1,2,1,0.024375,1,0
1159,1,1327,1,7,1.194375,1,0
1161,1,1326,1,1,0.024375,1,0
1162,1,37,1,1,0.024375,1,0
1165,1,94,1,1,0.024375,1,0
1166,1,95,1,1,0.024375,1,0
1169,1,341,2,1,0.024375,1,0
1170,1,458,2,1,0.024375,1,0
1171,1,411,3,2,0.0475,2,0
1172,2,1191,2,8,0.96,2,0
1173,1,2480,1,1,0.024375,1,0
1174,1,3500,2,2,0.0475,2,0
1175,1,60,1,1,0.024375,1,0
1176,1,60.9,1,1,0.024375,1,1
1177,2,342,1,8,0.91,3,0
1178,2,505,1,2,0.0475,2,1
1179,1,19,1,1,0.024375,1,0
1181,1,144,1,1,0.024375,1,0
1183,1,93,2,2,0.0975,1,0
1185,1,332,2,2,0.0975,1,0
1187,3,117,1,6,0.6275,2,0
1188,1,380,1,1,0.024375,1,0
1189,1,24,3,3,0.119375,2,0
1192,1,68,1,1,0.024375,1,0
1196,1,320,1,3,0.219375,1,0
1198,1,212.5,2,1,0.024375,1,0
